Municipio;Porcentagem de abandono - Ensino fundamental - Anos Iniciais;Porcentagem de abandono - Ensino fundamental - Anos Finais;Porcentagem de abandono - Ensino Médio;Total Abandono Escolar
CAMPO LIMPO PAULISTA;0,0;0,0;0,91;0,91
ITATIBA;0,0;0,0;0,28;0,28
ITUPEVA;0,0;0,09;0,48;0,57
JARINU;0,0;0,0;0,0;0,0
JUNDIAI;0,0;0,02;0,03;0,05
LOUVEIRA;0,0;0,25;0,07;0,32
VARZEA PAULISTA;0,0;0,06;0,1;0,16
SAO PAULO;0,03;0,2;1,01;1,24
SAO PAULO;0,08;0,06;0,28;0,42000000000000004
SAO PAULO;0,0;0,05;0,4;0,45
SAO PAULO;0,05;0,02;0,37;0,44
SAO PAULO;0,01;0,19;0,82;1,02
ARTUR NOGUEIRA;0,0;0,08;1,42;1,5
CORDEIROPOLIS;0,0;0,0;0,0;0,0
COSMOPOLIS;0,0;0,0;0,05;0,05
ENGENHEIRO COELHO;0,0;0,0;0,0;0,0
IPEUNA;0,0;0,0;0,0;0,0
IRACEMAPOLIS;0,0;0,0;0,0;0,0
LIMEIRA;0,0;0,03;0,18;0,21
RIO CLARO;0,0;0,11;0,49;0,6
SANTA GERTRUDES;0,0;0,0;0,0;0,0
CAFELANDIA;0,0;0,0;0,0;0,0
GETULINA;0,0;0,0;0,51;0,51
GUAICARA;0,0;0,0;0,0;0,0
GUAIMBE;0,0;1,31;2,75;4,0600000000000005
GUARANTA;0,0;0,81;2,63;3,44
LINS;0,0;0,0;0,0;0,0
PONGAI;0,0;0,0;0,0;0,0
PROMISSAO;0,0;0,31;0,19;0,5
SABINO;0,0;0,37;1,4;1,77
URU;0,0;0,0;0,0;0,0
ALVARO DE CARVALHO;0,0;0,0;0,0;0,0
ALVINLANDIA;0,0;0,0;0,0;0,0
ECHAPORA;0,0;0,0;0,0;0,0
FERNAO;0,0;0,0;0,0;0,0
GALIA;0,0;0,44;0,0;0,44
GARCA;0,0;0,24;3,11;3,3499999999999996
JULIO MESQUITA;0,0;0,0;0,0;0,0
LUPERCIO;0,0;0,48;0,0;0,48
MARILIA;0,0;0,02;0,1;0,12000000000000001
OCAUCU;0,0;0,0;0,0;0,0
ORIENTE;0,0;0,0;0,0;0,0
OSCAR BRESSANE;0,0;0,0;0,0;0,0
POMPEIA;0,0;0,0;0,0;0,0
VERA CRUZ;0,0;0,0;0,0;0,0
