Municipio;Total Abandono Escolar
CESARIO LANGE;0,14
BOITUVA;0,14
JARINU;0,14
ARACARIGUAMA;0,12
LARANJAL PAULISTA;0,12
IGUAPE;0,11
MONGAGUA;0,1
TAQUARITINGA;0,09
CAPAO BONITO;0,07
PORTO FELIZ;0,06
BIRITIBA-MIRIM;0,06
OLIMPIA;0,04
CARAGUATATUBA;0,04
MANDURI;0,0
MAGDA;0,0
MACATUBA;0,0
LUPERCIO;0,0
LUIZIANIA;0,0
LUCIANOPOLIS;0,0
LUCELIA;0,0
LOURDES;0,0
LINDOIA;0,0
ITIRAPINA;0,0
ITAJU;0,0
ITAJOBI;0,0
ITABERA;0,0
IRAPUA;0,0
IPUA;0,0
IPORANGA;0,0
IPIGUA;0,0
IPEUNA;0,0
MINEIROS DO TIETE;0,0
MIGUELOPOLIS;0,0
MESOPOLIS;0,0
MERIDIANO;0,0
MENDONCA;0,0
MATAO;0,0
INDIAPORA;0,0
IGARACU DO TIETE;0,0
ICEM;0,0
IBITINGA;0,0
MONTE APRAZIVEL;0,0
MIRASSOLANDIA;0,0
MIRASSOL;0,0
MIRANTE DO PARANAPANEMA;0,0
MIRA ESTRELA;0,0
MARAPOAMA;0,0
NOVA GRANADA;0,0
NOVA EUROPA;0,0
NOVA CASTILHO;0,0
NOVA CANAA PAULISTA;0,0
NOVA CAMPINA;0,0
NIPOA;0,0
NEVES PAULISTA;0,0
NARANDIBA;0,0
NANTES;0,0
MURUTINGA DO SUL;0,0
MOTUCA;0,0
MORUNGABA;0,0
MORRO AGUDO;0,0
MONTE CASTELO;0,0
IPAUSSU;0,0
INUBIA PAULISTA;0,0
IBIRA;0,0
IBATE;0,0
IARAS;0,0
IACRI;0,0
HERCULANDIA;0,0
GUZOLANDIA;0,0
GUAREI;0,0
ONDA VERDE;0,0
OLEO;0,0
NUPORANGA;0,0
NOVO HORIZONTE;0,0
NOVAIS;0,0
NOVA LUZITANIA;0,0
NOVA INDEPENDENCIA;0,0
NOVA GUATAPORANGA;0,0
PARISI;0,0
PARANAPUA;0,0
PARAISO;0,0
PARAGUACU PAULISTA;0,0
