Município,Percentual
Guaratinguetá,51.6,49.5,26.4,79.1,76.9,100.0,100.0,94.5,100.0,52.7
Guaraçaí,57.1,42.9,14.3,85.7,71.4,100.0,100.0,100.0,100.0,42.9
Guareí,36.4,18.2,9.1,81.8,63.6,100.0,100.0,100.0,100.0,18.2
Guariba,69.0,58.6,3.4,82.8,51.7,100.0,100.0,100.0,100.0,58.6
Guarujá,44.8,31.6,19.5,78.7,57.5,100.0,100.0,98.9,99.4,41.4
Guarulhos,60.2,38.6,22.9,67.4,78.8,99.8,99.7,99.1,98.4,57.2
Guará,33.3,38.9,5.6,83.3,33.3,100.0,100.0,100.0,100.0,61.1
Guatapará,62.5,62.5,12.5,87.5,87.5,100.0,100.0,100.0,100.0,62.5
Guaíra,50.0,30.8,23.1,76.9,61.5,100.0,100.0,100.0,96.2,34.6
Guzolândia,75.0,75.0,0.0,100.0,25.0,100.0,100.0,100.0,100.0,50.0
Gália,100.0,66.7,0.0,100.0,66.7,100.0,100.0,100.0,100.0,66.7
Herculândia,20.0,20.0,0.0,80.0,60.0,100.0,100.0,100.0,100.0,40.0
Holambra,22.2,16.7,22.2,77.8,33.3,100.0,100.0,72.2,100.0,33.3
Hortolândia,46.7,32.0,9.0,76.2,57.4,100.0,100.0,86.1,97.5,52.5
Iacanga,62.5,50.0,12.5,87.5,100.0,100.0,100.0,100.0,87.5,50.0
Iacri,50.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0
Iaras,22.2,33.3,11.1,100.0,44.4,100.0,100.0,88.9,88.9,33.3
Ibaté,88.0,48.0,16.0,92.0,72.0,100.0,100.0,100.0,100.0,68.0
Ibirarema,16.7,50.0,0.0,100.0,83.3,100.0,100.0,100.0,100.0,33.3
Ibirá,62.5,62.5,50.0,75.0,37.5,100.0,100.0,100.0,100.0,50.0
Ibitinga,54.8,52.4,14.3,83.3,35.7,100.0,100.0,100.0,100.0,38.1
Ibiúna,35.2,17.0,8.0,89.8,47.7,90.9,100.0,55.7,97.7,42.0
Icém,50.0,50.0,12.5,87.5,50.0,100.0,100.0,100.0,100.0,50.0
Iepê,66.7,66.7,0.0,100.0,66.7,100.0,100.0,100.0,100.0,100.0
Igarapava,43.5,47.8,34.8,91.3,56.5,100.0,100.0,87.0,100.0,30.4
Igaratá,27.3,27.3,18.2,90.9,45.5,100.0,100.0,54.5,100.0,36.4
Igaraçu do Tietê,52.9,47.1,11.8,88.2,58.8,100.0,100.0,100.0,94.1,47.1
Iguape,68.8,34.4,18.8,93.8,46.9,100.0,100.0,62.5,96.9,46.9
Ilha Comprida,54.5,36.4,0.0,100.0,100.0,100.0,100.0,81.8,100.0,45.5
Ilha Solteira,54.5,50.0,40.9,81.8,50.0,100.0,100.0,100.0,100.0,45.5
Ilhabela,58.3,25.0,4.2,89.6,70.8,100.0,83.3,77.1,100.0,35.4
Indaiatuba,51.0,44.3,18.8,82.6,63.8,100.0,100.0,98.7,98.7,47.0
Indiana,33.3,33.3,0.0,100.0,66.7,100.0,100.0,100.0,100.0,66.7
Indiaporã,100.0,25.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0
Inúbia Paulista,50.0,50.0,25.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0
Ipaussu,69.2,53.8,61.5,84.6,69.2,100.0,100.0,100.0,100.0,53.8
Iperó,40.0,45.0,10.0,90.0,70.0,100.0,100.0,100.0,100.0,50.0
Ipeúna,33.3,66.7,33.3,100.0,83.3,100.0,100.0,100.0,100.0,50.0
Ipiguá,100.0,33.3,0.0,100.0,33.3,100.0,100.0,100.0,100.0,33.3
Iporanga,56.2,12.5,0.0,100.0,12.5,81.2,68.8,25.0,100.0,12.5
Ipuã,11.1,16.7,44.4,88.9,50.0,100.0,100.0,100.0,100.0,55.6
Iracemápolis,71.4,64.3,28.6,92.9,50.0,100.0,100.0,100.0,92.9,57.1
Irapuru,42.9,28.6,0.0,57.1,71.4,100.0,100.0,100.0,85.7,57.1
Irapuã,50.0,50.0,25.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0
Itaberá,72.2,44.4,0.0,94.4,50.0,100.0,100.0,88.9,100.0,50.0
Itajobi,66.7,50.0,0.0,75.0,66.7,100.0,100.0,100.0,100.0,66.7
Itaju,25.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0
Itanhaém,72.2,51.4,19.4,81.9,48.6,100.0,98.6,70.8,98.6,55.6
Itaoca,87.5,25.0,0.0,100.0,0.0,100.0,100.0,62.5,100.0,37.5
Itapecerica da Serra,47.7,23.5,6.1,86.4,61.4,100.0,100.0,64.4,99.2,52.3
Itapetininga,46.8,36.2,15.6,87.9,83.0,100.0,100.0,95.7,98.6,46.8
Itapeva,50.6,43.4,15.7,92.8,71.1,100.0,100.0,79.5,100.0,67.5
Itapevi,50.0,38.5,22.9,93.8,82.3,100.0,100.0,86.5,100.0,57.3
Itapira,36.4,36.4,19.7,83.3,77.3,100.0,100.0,100.0,98.5,39.4
Itapirapuã Paulista,100.0,28.6,0.0,100.0,0.0,100.0,100.0,42.9,100.0,71.4
Itaporanga,50.0,37.5,12.5,87.5,50.0,100.0,100.0,81.2,100.0,50.0
Itapura,50.0,50.0,25.0,100.0,50.0,100.0,100.0,75.0,100.0,25.0
Itapuí,77.8,33.3,22.2,88.9,77.8,100.0,100.0,100.0,100.0,33.3
Itaquaquecetuba,30.3,27.7,11.8,82.1,70.3,100.0,100.0,92.3,97.9,44.1
Itararé,43.2,36.4,9.1,79.5,61.4,100.0,100.0,95.5,100.0,59.1
Itariri,50.0,18.8,0.0,100.0,62.5,100.0,100.0,81.2,93.8,37.5
Itatiba,53.8,41.8,17.6,78.0,45.1,100.0,100.0,91.2,98.9,51.6
Itatinga,22.2,11.1,11.1,88.9,66.7,100.0,100.0,100.0,100.0,38.9
Itaí,53.3,20.0,0.0,80.0,66.7,100.0,100.0,100.0,100.0,73.3
Itirapina,54.5,54.5,9.1,81.8,81.8,100.0,100.0,100.0,100.0,45.5
Itirapuã,80.0,60.0,20.0,80.0,60.0,100.0,100.0,100.0,100.0,40.0
