ANO_LETIVO;NM_DIRETORIA;NM_MUNICIPIO;CD_REDE_ENSINO;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3
2024;JABOTICABAL;PRADOPOLIS;1;0;0;0;0;0;0;94,42;5,58;0
2024;SAO VICENTE;PRAIA GRANDE;1;100;0;0;97,42;2,58;0;97,48;2,52;0
2024;BOTUCATU;PRATANIA;1;0;0;0;99,16;0,84;0;100;0;0
2024;BAURU;PRESIDENTE ALVES;1;100;0;0;99,45;0,55;0;100;0;0
2024;SANTO ANASTACIO;PRESIDENTE BERNARDES;1;0;0;0;0;0;0;97,02;2,98;0
2024;SANTO ANASTACIO;PRESIDENTE EPITACIO;1;99,62;0,38;0;98,99;1,01;0;97,61;2,39;0
2024;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;1;0;0;0;97,52;2,48;0;94,86;5,14;0
2024;SANTO ANASTACIO;PRESIDENTE VENCESLAU;1;0;0;0;98,62;1,38;0;96,16;3,84;0
2024;LINS;PROMISSAO;1;99,34;0,66;0;97,94;2,06;0;90,48;9,52;0
2024;BOTUCATU;QUADRA;1;0;0;0;0;0;0;99,41;0,59;0
2024;TUPA;QUATA;1;0;0;0;99,1;0,9;0;97,55;2,45;0
2024;TUPA;QUEIROZ;1;0;0;0;100;0;0;100;0;0
2024;GUARATINGUETA;QUELUZ;1;0;0;0;0;0;0;87,55;12,45;0
2024;TUPA;QUINTANA;1;0;0;0;99,68;0,32;0;96,39;3,61;0
2024;CAPIVARI;RAFARD;1;0;0;0;97,99;2,01;0;97,6;2,4;0
2024;TUPA;RANCHARIA;1;100;0;0;100;0;0;100;0;0
2024;TAUBATE;REDENCAO DA SERRA;1;0;0;0;100;0;0;99,35;0,65;0
2024;PRESIDENTE PRUDENTE;REGENTE FEIJO;1;0;0;0;97,07;2,93;0;94,02;5,98;0
2024;BAURU;REGINOPOLIS;1;0;0;0;99,19;0,81;0;98,58;1,42;0
2024;REGISTRO;REGISTRO;1;100;0;0;98,96;1,04;0;97,23;2,77;0
2024;FRANCA;RESTINGA;1;0;0;0;0;0;0;100;0;0
2024;APIAI;RIBEIRA;1;0;0;0;100;0;0;100;0;0
2024;SAO CARLOS;RIBEIRAO BONITO;1;0;0;0;0;0;0;98,7;1,3;0
2024;APIAI;RIBEIRAO BRANCO;1;0;0;0;98,75;1,25;0;98,23;1,77;0
2024;FRANCA;RIBEIRAO CORRENTE;1;0;0;0;0;0;0;95,74;4,26;0
2024;OURINHOS;RIBEIRAO DO SUL;1;0;0;0;99,61;0,39;0;93,04;6,96;0
2024;SANTO ANASTACIO;RIBEIRAO DOS INDIOS;1;0;0;0;96,97;3,03;0;98,21;1,79;0
2024;ITAPEVA;RIBEIRAO GRANDE;1;0;0;0;100;0;0;100;0;0
2024;MAUA;RIBEIRAO PIRES;1;99,91;0,09;0;98,94;1,06;0;96,55;3,45;0
2024;RIBEIRAO PRETO;RIBEIRAO PRETO;1;99,46;0,54;0;96,86;3,14;0;94,4;5,6;0
2024;FRANCA;RIFAINA;1;0;0;0;95,75;4,25;0;92,48;7,52;0
2024;ARARAQUARA;RINCAO;1;0;0;0;99,71;0,29;0;100;0;0
2024;TUPA;RINOPOLIS;1;100;0;0;99,5;0,5;0;97,11;2,89;0
2024;LIMEIRA;RIO CLARO;1;100;0;0;99,62;0,38;0;97,54;2,46;0
2024;CAPIVARI;RIO DAS PEDRAS;1;0;0;0;99,71;0,29;0;98,72;1,28;0
2024;MAUA;RIO GRANDE DA SERRA;1;99,45;0,55;0;97,51;2,49;0;92,29;7,71;0
2024;VOTUPORANGA;RIOLANDIA;1;0;0;0;0;0;0;100;0;0
2024;ITARARE;RIVERSUL;1;100;0;0;99,67;0,33;0;96,74;3,26;0
2024;MIRANTE DO PARANAPANEMA;ROSANA;1;100;0;0;99,86;0,14;0;99,77;0,23;0
