ano,unidade_geografica,regiao,localizacao,dependencia_administrativa,grupo_de_abandono,taxa_abandono,renda_media
2013,Piauí,Nordeste,Total,Estadual,Ensino Fundamental,4.7,1874
2013,Piauí,Nordeste,Rural,Total,Ensino Fundamental,3.3,1874
2013,Piauí,Nordeste,Rural,Pública,Ensino Fundamental,3.3,1874
2013,Piauí,Nordeste,Rural,Privada,Ensino Fundamental,0.5,1874
2013,Piauí,Nordeste,Rural,Municipal,Ensino Fundamental,3.2,1874
2013,Piauí,Nordeste,Rural,Estadual,Ensino Fundamental,7.8,1874
2013,Piauí,Nordeste,Urbana,Total,Ensino Fundamental,2.6,1874
2013,Piauí,Nordeste,Urbana,Pública,Ensino Fundamental,3.2,1874
2013,Piauí,Nordeste,Urbana,Privada,Ensino Fundamental,0.3,1874
2013,Piauí,Nordeste,Urbana,Municipal,Ensino Fundamental,2.8,1874
2013,Piauí,Nordeste,Urbana,Estadual,Ensino Fundamental,4.7,1874
2013,Ceará,Nordeste,Total,Total,Ensino Fundamental,1.9,1941
2013,Ceará,Nordeste,Total,Pública,Ensino Fundamental,2.4,1941
2013,Ceará,Nordeste,Total,Privada,Ensino Fundamental,0.3,1941
2013,Ceará,Nordeste,Total,Municipal,Ensino Fundamental,2.1,1941
2013,Ceará,Nordeste,Total,Federal,Ensino Fundamental,0.0,1941
2013,Ceará,Nordeste,Total,Estadual,Ensino Fundamental,5.6,1941
2013,Ceará,Nordeste,Rural,Total,Ensino Fundamental,1.6,1941
2013,Ceará,Nordeste,Rural,Pública,Ensino Fundamental,1.6,1941
2013,Ceará,Nordeste,Rural,Privada,Ensino Fundamental,0.3,1941
2013,Ceará,Nordeste,Rural,Municipal,Ensino Fundamental,1.5,1941
2013,Ceará,Nordeste,Rural,Estadual,Ensino Fundamental,5.0,1941
2013,Ceará,Nordeste,Urbana,Total,Ensino Fundamental,2.0,1941
2013,Ceará,Nordeste,Urbana,Pública,Ensino Fundamental,2.6,1941
2013,Ceará,Nordeste,Urbana,Privada,Ensino Fundamental,0.3,1941
2013,Ceará,Nordeste,Urbana,Municipal,Ensino Fundamental,2.4,1941
2013,Ceará,Nordeste,Urbana,Federal,Ensino Fundamental,0.0,1941
2013,Ceará,Nordeste,Urbana,Estadual,Ensino Fundamental,5.6,1941
2013,Rio Grande do Norte,Nordeste,Total,Total,Ensino Fundamental,4.0,2027
2013,Rio Grande do Norte,Nordeste,Total,Pública,Ensino Fundamental,4.9,2027
2013,Rio Grande do Norte,Nordeste,Total,Privada,Ensino Fundamental,0.3,2027
2013,Rio Grande do Norte,Nordeste,Total,Municipal,Ensino Fundamental,4.3,2027
2013,Rio Grande do Norte,Nordeste,Total,Federal,Ensino Fundamental,0.0,2027
2013,Rio Grande do Norte,Nordeste,Total,Estadual,Ensino Fundamental,6.1,2027
2013,Rio Grande do Norte,Nordeste,Rural,Total,Ensino Fundamental,4.1,2027
2013,Rio Grande do Norte,Nordeste,Rural,Pública,Ensino Fundamental,4.1,2027
2013,Rio Grande do Norte,Nordeste,Rural,Privada,Ensino Fundamental,1.2,2027
2013,Rio Grande do Norte,Nordeste,Rural,Municipal,Ensino Fundamental,3.9,2027
2013,Rio Grande do Norte,Nordeste,Rural,Estadual,Ensino Fundamental,5.3,2027
2013,Rio Grande do Norte,Nordeste,Urbana,Total,Ensino Fundamental,4.1,2027
2013,Rio Grande do Norte,Nordeste,Urbana,Pública,Ensino Fundamental,5.1,2027
2013,Rio Grande do Norte,Nordeste,Urbana,Privada,Ensino Fundamental,0.3,2027
2013,Rio Grande do Norte,Nordeste,Urbana,Municipal,Ensino Fundamental,4.6,2027
2013,Rio Grande do Norte,Nordeste,Urbana,Federal,Ensino Fundamental,0.0,2027
2013,Rio Grande do Norte,Nordeste,Urbana,Estadual,Ensino Fundamental,6.1,2027
2013,Paraíba,Nordeste,Total,Total,Ensino Fundamental,5.0,1766
2013,Paraíba,Nordeste,Total,Pública,Ensino Fundamental,5.9,1766
2013,Paraíba,Nordeste,Total,Privada,Ensino Fundamental,0.4,1766
2013,Paraíba,Nordeste,Total,Municipal,Ensino Fundamental,5.0,1766
2013,Paraíba,Nordeste,Total,Federal,Ensino Fundamental,0.0,1766
2013,Paraíba,Nordeste,Total,Estadual,Ensino Fundamental,8.2,1766
2013,Paraíba,Nordeste,Rural,Total,Ensino Fundamental,4.1,1766
2013,Paraíba,Nordeste,Rural,Pública,Ensino Fundamental,4.0,1766
2013,Paraíba,Nordeste,Rural,Privada,Ensino Fundamental,1.4,1766
2013,Paraíba,Nordeste,Rural,Municipal,Ensino Fundamental,3.8,1766
2013,Paraíba,Nordeste,Rural,Estadual,Ensino Fundamental,6.5,1766
2013,Paraíba,Nordeste,Urbana,Total,Ensino Fundamental,5.1,1766
2013,Paraíba,Nordeste,Urbana,Pública,Ensino Fundamental,6.5,1766
2013,Paraíba,Nordeste,Urbana,Privada,Ensino Fundamental,0.4,1766
2013,Paraíba,Nordeste,Urbana,Municipal,Ensino Fundamental,5.4,1766
2013,Paraíba,Nordeste,Urbana,Federal,Ensino Fundamental,0.0,1766
2013,Paraíba,Nordeste,Urbana,Estadual,Ensino Fundamental,8.3,1766
2013,Pernambuco,Nordeste,Total,Total,Ensino Fundamental,3.0,2441
2013,Pernambuco,Nordeste,Total,Pública,Ensino Fundamental,3.7,2441
2013,Pernambuco,Nordeste,Total,Privada,Ensino Fundamental,0.4,2441
2013,Pernambuco,Nordeste,Total,Municipal,Ensino Fundamental,3.8,2441
2013,Pernambuco,Nordeste,Total,Federal,Ensino Fundamental,0.0,2441
2013,Pernambuco,Nordeste,Total,Estadual,Ensino Fundamental,3.5,2441
2013,Pernambuco,Nordeste,Rural,Total,Ensino Fundamental,3.0,2441
2013,Pernambuco,Nordeste,Rural,Pública,Ensino Fundamental,3.1,2441
2013,Pernambuco,Nordeste,Rural,Privada,Ensino Fundamental,0.6,2441
2013,Pernambuco,Nordeste,Rural,Municipal,Ensino Fundamental,3.0,2441
2013,Pernambuco,Nordeste,Rural,Estadual,Ensino Fundamental,4.1,2441
2013,Pernambuco,Nordeste,Urbana,Total,Ensino Fundamental,3.0,2441
2013,Pernambuco,Nordeste,Urbana,Pública,Ensino Fundamental,3.9,2441
2013,Pernambuco,Nordeste,Urbana,Privada,Ensino Fundamental,0.4,2441
2013,Pernambuco,Nordeste,Urbana,Municipal,Ensino Fundamental,4.1,2441
2013,Pernambuco,Nordeste,Urbana,Federal,Ensino Fundamental,0.0,2441
2013,Pernambuco,Nordeste,Urbana,Estadual,Ensino Fundamental,3.4,2441
2013,Alagoas,Nordeste,Total,Total,Ensino Fundamental,6.4,1820
2013,Alagoas,Nordeste,Total,Pública,Ensino Fundamental,7.3,1820
2013,Alagoas,Nordeste,Total,Privada,Ensino Fundamental,0.5,1820
2013,Alagoas,Nordeste,Total,Municipal,Ensino Fundamental,6.3,1820
2013,Alagoas,Nordeste,Total,Estadual,Ensino Fundamental,12.3,1820
2013,Alagoas,Nordeste,Rural,Total,Ensino Fundamental,4.3,1820
2013,Alagoas,Nordeste,Rural,Pública,Ensino Fundamental,4.3,1820
2013,Alagoas,Nordeste,Rural,Privada,Ensino Fundamental,0.6,1820
2013,Alagoas,Nordeste,Rural,Municipal,Ensino Fundamental,4.3,1820
2013,Alagoas,Nordeste,Rural,Estadual,Ensino Fundamental,5.5,1820
2013,Alagoas,Nordeste,Urbana,Total,Ensino Fundamental,7.0,1820
2013,Alagoas,Nordeste,Urbana,Pública,Ensino Fundamental,8.4,1820
2013,Alagoas,Nordeste,Urbana,Privada,Ensino Fundamental,0.5,1820
2013,Alagoas,Nordeste,Urbana,Municipal,Ensino Fundamental,7.2,1820
2013,Alagoas,Nordeste,Urbana,Estadual,Ensino Fundamental,12.7,1820
2013,Sergipe,Nordeste,Total,Total,Ensino Fundamental,4.3,2229
2013,Sergipe,Nordeste,Total,Pública,Ensino Fundamental,5.2,2229
2013,Sergipe,Nordeste,Total,Privada,Ensino Fundamental,0.3,2229
2013,Sergipe,Nordeste,Total,Municipal,Ensino Fundamental,4.8,2229
2013,Sergipe,Nordeste,Total,Federal,Ensino Fundamental,1.7,2229
2013,Sergipe,Nordeste,Total,Estadual,Ensino Fundamental,6.0,2229
2013,Sergipe,Nordeste,Rural,Total,Ensino Fundamental,4.3,2229
2013,Sergipe,Nordeste,Rural,Pública,Ensino Fundamental,4.3,2229
2013,Sergipe,Nordeste,Rural,Privada,Ensino Fundamental,0.3,2229
2013,Sergipe,Nordeste,Rural,Municipal,Ensino Fundamental,4.3,2229
2013,Sergipe,Nordeste,Rural,Estadual,Ensino Fundamental,4.4,2229
2013,Sergipe,Nordeste,Urbana,Total,Ensino Fundamental,4.2,2229
